# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

str_no_string|NO STRING!
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|I always had you figured for a traitor to {s54}, and now it seems I was proven right. I hope you are prepared to die a traitor's death!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|I heard that you renounced your allegiance to our lord, {s54}. I am forced to consider you a traitor.
str_comment_you_renounced_your_alliegance_enemy|I heard that you renounced your allegiance to our lord, {s54}. Well, it is the way of the world for old comrades to become enemies.
str_comment_you_renounced_your_alliegance_default|I heard that you renounced your allegiance to our lord, {s54}. Well, that is your decision, but do not expect me to go easy on you when we meet on the battlefield.
str_personality_archetypes|liege
str_martial|martial
str_quarrelsome|bad-tempered
str_selfrighteous|pitiless
str_cunning|cunning
str_debauched|sadistic
str_goodnatured|good-natured
str_upstanding|upstanding
str_surrender_demand_default|Yield or die!
str_surrender_demand_martial|The odds are not in your favor today. You may fight us, but there is also no shame if you yield now.
str_surrender_demand_quarrelsome|I've got you cornered. Give up, or I'll ride you down like a dog.
str_surrender_demand_pitiless|You cannot defeat me, and I'll teach you a painful lesson if you try. Yield!
str_surrender_demand_cunning|You are outmatched today. Give up -- if not for your own sake, then think of your men!
str_surrender_demand_sadistic|Surrender or I'll gut you like a fish!
str_surrender_demand_goodnatured|We have the advantage of you. Yield, and you will be well-treated.
str_surrender_demand_upstanding|You may fight us, but many of your men will be killed, and you will probably lose. Yield, and spare us both the unnecessary bloodshed.
str_surrender_offer_default|Stop! I yield!
str_surrender_offer_martial|Stop! I yield!
str_surrender_offer_quarrelsome|Enough! You win today, you dog! Ach, the shame of it!
str_surrender_offer_pitiless|I yield! You have won. Cursed be this day!
str_surrender_offer_cunning|Stop! I yield to you!
str_surrender_offer_sadistic|I give up! I give up! Call back your dogs!
str_surrender_offer_goodnatured|I yield! Congratulations on your victory, {sir/madame}!
str_surrender_offer_upstanding|I yield! Grant me the honours of war, and do yourself credit!
str_prisoner_released_default|You have my gratitude, {sir/madame}. I shall not forget your kindness.
str_prisoner_released_martial|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!
str_prisoner_released_quarrelsome|I'm free? Well... Good bye, then.
str_prisoner_released_pitiless|Thank you. When you are finally defeated, I will request for your death to be swift and merciful. Unless, that is, you care to join us... Good bye, for now.
str_prisoner_released_cunning|Am I? You are a good {man/woman}. I will try to find a way to repay you.
str_prisoner_released_sadistic|Am I? So refined is your cruelty, that you would rather see me free and humiliated, than in chains. Enjoy your triumph!
str_prisoner_released_goodnatured|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!
str_prisoner_released_upstanding|You are indeed a {man/woman} of honour, {sir/madame}. I shall not forget this!
str_enemy_meet_default|Who are you, that comes in arms against me?
str_enemy_meet_martial|What is your name, {sir/madame}? If we come to blows, I would know whom I fight.
str_enemy_meet_quarrelsome|Who the hell are you?
str_enemy_meet_pitiless|Who are you? Speak, so that I may know whom I slay.
str_enemy_meet_cunning|Tell me your name. It is always good to know your enemy.
str_enemy_meet_sadistic|Who are you? Speak quick, before I cut your tongue out.
str_enemy_meet_goodnatured|What is your name, {sir/madame}? If we come to blows, I would know whom I fight.
str_enemy_meet_upstanding|Who are you, who would come in arms to dispute our righteous cause?
str_battle_won_default|You have proven yourself a most valued ally, today.
str_battle_won_martial|There is no greater fortune than the chance to show one's valor on the field of arms!
str_battle_won_quarrelsome|Hah! We showed those bastards a thing or two, there, didn't we?
str_battle_won_pitiless|Together, we will make the foe learn to fear our names, and to quail at our coming!
str_battle_won_cunning|Now, we must be sure to press our advantage, so that the blood shed today is not wasted.
str_battle_won_sadistic|Now let us strip their dead and leave them for the crows, so that all will know the fate of those who come against us.
str_battle_won_goodnatured|That was a good scrap! No joy like the joy of victory, eh?
str_battle_won_upstanding|Now, let us give thanks to the heavens for our victory, and mourn the many fine men who have fallen today.
str_battle_won_grudging_default|You helped turn the tide on the field, today. Whatever I may think of you, I cannot fault you for your valor.
str_battle_won_grudging_martial|{playername} -- you have shown yourself a worthy {man/woman} today, whatever your misdeeds in the past.
str_battle_won_grudging_quarrelsome|Hmf. Yours is not a face which I normally like to see, but I suppose today I should thank you for your help.
str_battle_won_grudging_pitiless|Your help was most valuable today. I would not imagine that you came to help me out of kindness, but I nonetheless thank you.
str_battle_won_grudging_cunning|It would be unwise of me not to thank you for coming to help me in my hour of need. So... You have my gratitude.
str_battle_won_grudging_sadistic|Well! How touching! {playername} has come to rescue me.
str_battle_won_grudging_goodnatured|{playername}! I can't say that we've always gotten along in the past, but you fought well today. My thanks to you!
str_battle_won_grudging_upstanding|Perhaps I was wrong about you. Your arrival was most timely. You have my gratitude.
str_battle_won_unfriendly_default|So you're here. Well, better late than never, I suppose.
str_battle_won_unfriendly_martial|We have hard harsh words in the past, but for now let us simply enjoy our victory.
str_battle_won_unfriendly_quarrelsome|If you're standing there waiting for thanks, you can keep waiting. Your help wasn't really needed, but I guess you had nothing better to do, right?
str_battle_won_unfriendly_pitiless|You have come here, like a jackal to a lion's kill. Very well then, help yourself to the spoils. I shall not stop you.
str_battle_won_unfriendly_cunning|{playername}... Well, I suppose your arrival didn't hurt, although I won't pretend that I'm happy to see you.
str_battle_won_unfriendly_sadistic|Back off, carrion fowl! This was my victory, however hard you try to steal the glory for yourself.
str_battle_won_unfriendly_goodnatured|Oh, it's you. Well, I suppose I should thank you for your help.
str_battle_won_unfriendly_upstanding|Thank you for coming to my support. Now I will be off, before I say something that I regret.
str_troop_train_request_default|I need someone like you to knock them into shape.
str_troop_train_request_martial|They need someone to show them the meaning of valor.
str_troop_train_request_quarrelsome|Fat lazy bastards. They make me puke.
str_troop_train_request_pitiless|They are more afraid of the enemy than they are of me, and this will not do.
str_troop_train_request_cunning|But men, like swords, are tempered and hardened by fire.
str_troop_train_request_sadistic|They need someone with steel in his back to flog some courage into them, or kill them trying.
str_troop_train_request_goodnatured|They're good enough lads, but I am afraid that they are not quite ready for a battle just yet.
str_troop_train_request_upstanding|It would be tantamount to murder for me to lead them into combat in their current state.
str_unprovoked_attack_default|What? Why do you attack us? Speak, you rascal!
str_unprovoked_attack_martial|I have no objection to a trial of arms, but I would ask you for what reason you attack us?
str_unprovoked_attack_quarrelsome|You're making a big mistake, {boy/girl}. What do you think you're doing?
str_unprovoked_attack_pitiless|Indeed? If you really want to die today, I'd be more than happy to oblige you, but I am curious as to what you hope to accomplish.
str_unprovoked_attack_cunning|Really? I think that you are acting most unwisely. What do you hope to gain by this?
str_unprovoked_attack_sadistic|What's this? Do you enjoy having your eyes put out?
str_unprovoked_attack_goodnatured|Why do you do this? We've got no quarrel, {sir/madame}.
str_unprovoked_attack_upstanding|I consider this an unprovoked assault, and will protest to your king. Why do you do this?
str_unnecessary_attack_default|I will not hesitate to cut you down if pressed, but I will offer you the chance to ride away from this.
str_unnecessary_attack_martial|I am eager to take you up on your challenge, {sir/madame}, although I will give you a minute to reconsider.
str_unnecessary_attack_quarrelsome|Bah! I'm in no mood for this nonsense today. Get out of my way.
str_unnecessary_attack_pitiless|I am in a merciful mood today. I will pretend that I did not hear you.
str_unnecessary_attack_cunning|I don't see what you have to gain by making an enemy of me. Maybe you should just ride away.
str_unnecessary_attack_sadistic|I have no time to waste on a worm like you. Get out of my way.
str_unnecessary_attack_goodnatured|I don't see what you have to gain by picking a fight, {sir/madame}. You can still ride away.
str_unnecessary_attack_upstanding|If a fight is what you wish, {sir/madame}, then you will have one, but I will yet offer you the chance to back down.
str_lord_challenged_default|¡Como quieres, prepárate a morir!
str_lord_challenged_martial|So be it. Defend yourself!
str_lord_challenged_quarrelsome|You impudent whelp! I'll crush you!
str_lord_challenged_pitiless|If you so badly wish to die, then I have no choice but to oblige you.
str_lord_challenged_cunning|Well, if you leave me no choice...
str_lord_challenged_sadistic|You heap of filth! I'll make you wish you'd never been born.
str_lord_challenged_goodnatured|Very well. I had hoped that we might avoid coming to blows, but I see that have no choice.
str_lord_challenged_upstanding|So be it. It saddens me that you cannot be made to see reason.
str_lord_mission_failed_default|Well, I am disappointed, but I am sure that you will have many chances to redeem yourself.
str_lord_mission_failed_martial|There is no honour in failing a quest which you endeavoured to take, but I will accept your word on it.
str_lord_mission_failed_quarrelsome|You failed? Bah. I should have expected as much from the likes of you.
str_lord_mission_failed_pitiless|You failed? Well. You disappoint me. That is a most unwise thing to do.
str_lord_mission_failed_cunning|Well, I am disappointed, but no one can guarantee that the winds of fortune will always blow their way.
str_lord_mission_failed_sadistic|Indeed? Those who fail me do not always live to regret it.
str_lord_mission_failed_goodnatured|Oh well. It was a long shot, anyway. Thank you for making an effort.
str_lord_mission_failed_upstanding|Very well. I am sure that you gave it your best effort.
str_lord_follow_refusal_default|Follow you? You forget your station, {sir/madame}.
str_lord_follow_refusal_martial|Perhaps if you one day prove yourself a valorous and honourable warrior, then I would follow you. But not today.
str_lord_follow_refusal_quarrelsome|Follow someone like you? I don't think so.
str_lord_follow_refusal_pitiless|Lords like me do not follow people like you, {sir/madame}.
str_lord_follow_refusal_cunning|First show me that you are the type of {man/woman} who will not lead me into disaster, and then perhaps I will follow you.
str_lord_follow_refusal_sadistic|I think not! Rather, you should follow me, as a whipped cur follows {his/her} master.
str_lord_follow_refusal_goodnatured|Um, I am a bit pressed with errands right now. Perhaps at a later date.
str_lord_follow_refusal_upstanding|First show me that you are worthy to lead, and then perhaps I will follow.
str_lord_insult_default|base varlot
str_lord_insult_martial|dishonourable knave
str_lord_insult_quarrelsome|filth-swilling bastard
str_lord_insult_pitiless|low-born worm
str_lord_insult_cunning|careless oaf
str_lord_insult_sadistic|sniveling cur
str_lord_insult_goodnatured|unpleasant fellow
str_lord_insult_upstanding|disgraceful scoundrel
str_rebellion_dilemma_default|[liege]
str_rebellion_dilemma_martial|{s45} was clearly wronged. Although I gave an oath to {s46}, it does not bind me to support him if he usurped his throne illegally.
str_rebellion_dilemma_quarrelsome|Hmm. {s46} has never given me my due, so I don't figure I owe him much. However, maybe {s45} will be no better, and {s46} has at least shown himself .
str_rebellion_dilemma_pitiless|Hmm. {s45} says {reg3?she:he} is the rightful heir to the throne. That is good -- it absolves me of my oath to {s46}. But still I must weight my decision carefully.
str_rebellion_dilemma_cunning|Hmm. I gave an oath of homage to {s46}, yet the powerful are not bound by their oaths as our ordinary people. Our duty is to our own ability to rule, to impose order and prevent the war of all against all.
str_rebellion_dilemma_sadistic|Hmm. In this vile world, a wise man must think of himself, for no one else will. So -- what's in it for me?
str_rebellion_dilemma_goodnatured|I do not know what to say. I gave an oath to {s46} as the lawful ruler, but if he is not the lawful ruler, I don't know if I am still bound.
str_rebellion_dilemma_upstanding|This is troublesome. It is a grave thing to declare my homage to {s46} to be null and void, and dissolve the bonds which keep our land from sinking into anarchy. Yet I am also pledged to support the legitimacy of the succession, and {s45} also has a valid claim to the throne.
str_rebellion_dilemma_2_default|[liege]
str_rebellion_dilemma_2_martial|On the other hand, {s46} has led us in war and peace, and I am loathe to renounce my allegiance.
str_rebellion_dilemma_2_quarrelsome|So tell me, why should I turn my back on the bastard I know, in favor of {reg3?a woman:the bastard} I don't know?
str_rebellion_dilemma_2_pitiless|It is a most perilous position to be in, to be asked whom I would make {reg3?ruler:king} of this land. Yet it is also a time of opportunity, for me to reap the rewards that have always been my due!
str_rebellion_dilemma_2_cunning|{s46} has been challenged, and thus he will never be able to rule as strongly as one whose claim has never been questioned. Yet if {s45} takes the throne by force, {reg3?she:he} will not be as strong as one who succeeded peacefully.
str_rebellion_dilemma_2_sadistic|Perhaps if I join {s45} while {reg3?she:he} is still weak {reg3?she:he} will enrich me, but perhaps if I bring {s46} your head he will give me an even greater reward.
str_rebellion_dilemma_2_goodnatured|{s46} has always treated me decently, yet it's true that he did wrong to {s45}. I hesitate to renounce my homage to {s46}, yet I also don't think it's right to support injustice.
str_rebellion_dilemma_2_upstanding|I feel that I must do whatever is best for the realm, to avoid it being laid waste by civil war and ravaged by its enemies.
str_rebellion_prior_argument_very_favorable|I have already heard some arguments for supporting your candidate for the throne, and I tend to agree with them.
str_rebellion_prior_argument_favorable|I have already heard some arguments for supporting your candidate for the throne, and I tend to agree with them.
str_rebellion_prior_argument_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I do not find them convincing.
str_rebellion_prior_argument_very_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I disagree with most of them.
str_rebellion_rival_default|[liege]
str_rebellion_rival_martial|{s49} your ally {s44} once questioned my honour and my bravery. It's not often I get the chance to face him in battle, and make him retract his statement.
str_rebellion_rival_quarrelsome|{s49} you're working with {s44}. He's a crafty weasel, and I don't trust him one bit.
str_rebellion_rival_pitiless|{s49} you seem to have enlisted the support of {s44} -- who is soft, and weak, and not fit to govern a fief, and whom I have always detested.
str_rebellion_rival_cunning|{s49} {s44}, who has already joined you, is headstrong and quarrelsome, and a bit of liability.
str_rebellion_rival_sadistic|{s49} I have no desire to fight alongside your ally {s44}, who puts on such a nauseating display of virtue.
str_rebellion_rival_goodnatured|{s49} I'd be reluctant to be on the same side as {s44}, who has quite a reputation for cruelty.
str_rebellion_rival_upstanding|{s49} your ally {s44} is in my opinion a dangerous, unreliable, and highly unprincipled man.
str_rebellion_argument_favorable|I respect your line of argument
str_rebellion_argument_neutral|I find your line of argument only moderately compelling
str_rebellion_argument_unfavorable|I do not find your line of argument compelling
str_rebellion_persuasion_favorable|you state your case eloquently
str_rebellion_persuasion_neutral|you make a reasonable case
str_rebellion_persuasion_unfavorable|you make an unconvincing case
str_rebellion_relation_very_favorable|I have the greatest respect for you personally.
str_rebellion_relation_favorable|I know and respect you personally.
str_rebellion_relation_neutral|I do not know you as well as I might like.
str_rebellion_relation_unfavorable|No confío en tí.
str_and_comma_3|Es más, 
str_but_comma_3|No obstante,
str_and_comma_1|, y 
str_but_comma_1|, pero 
str_and_comma_2|. Moreover, 
str_but_comma_2|. Nonetheless, 
str_rebellion_agree_default|[liege]
str_rebellion_agree_martial|I have decided. I will back {s45} as the rightful heir.
str_rebellion_agree_quarrelsome|Ahh, I've thought long enough. I never did like {s46} much anyway. Let's go take his throne away from him.
str_rebellion_agree_pitiless|No. I will not join your rebellion. I count it little more than the tantrum of a child, denied a bauble which {reg3?she:he} thinks should be {reg3?hers:his}. I will stick with {s46}, whose ability to rule is well-tested.
str_rebellion_agree_cunning|I am sorry. You do not give me reason for confidence that you will win. Many will die, but I do not wish to be among them. I will continue to back {s46}.
str_rebellion_agree_sadistic|No. I won't play your little game. You grasp at a crown, but I think instead you'll get a quick trip to the scaffold, and I'll be there by {s46}'s side to watch the headsman's axe drop.
str_rebellion_agree_goodnatured|I am sorry. I don't feel right turning my back on {s46}. No hard feelings when me meet on the battlefield.
str_rebellion_agree_upstanding|I am sorry. {s45}'s claim is not strong enough for me to inflict the curse of civil disorder on the poor wretches of this land. I will continue to back {s46}. May the Heavens forgive me if I do wrong.
str_rebellion_refuse_default|[liege]
str_rebellion_refuse_martial|I am sorry. {s45} has a good claim, but it's not enough for me to turn my back on {s46}. I will remain loyal to my liege.
str_rebellion_refuse_quarrelsome|Nah. Your whelp {s45} doesn't have what it takes to rule this realm. I'm sticking with {s46}.
str_rebellion_agree_pitiless|No. I will not join your rebellion. I count it little more than the tantrum of a child, denied a bauble which {reg3?she:he} thinks should be {reg3?hers:his}. I will stick with {s46}, whose ability to rule is well-tested.
str_rebellion_agree_cunning|I am sorry. You do not give me reason for confidence that you will win. Many will die, but I do not wish to be among them. I will continue to back {s46}.
str_rebellion_agree_sadistic|No. I won't play your little game. You grasp at a crown, but I think instead you'll get a quick trip to the scaffold, and I'll be there by {s46}'s side to watch the headsman's axe drop.
str_rebellion_agree_goodnatured|I am sorry. I don't feel right turning my back on {s46}. No hard feelings when me meet on the battlefield.
str_rebellion_agree_upstanding|I am sorry. {s45}'s claim is not strong enough for me to inflict the curse of civil disorder on the poor wretches of this land. I will continue to back {s46}. May the Heavens forgive me if I do wrong.
str_talk_later_default|[liege]
str_talk_later_martial|Now is not the time to talk politics! I am here today with my fellow lords, armed for battle. You'd better prepare to fight.
str_talk_later_quarrelsome|Do you expect me to discuss betraying my liege with you, while we are surrounded by his army? What do you take me for, a bloody idiot?
str_talk_later_pitiless|Still your tongue! Whatever I have to say on this matter, I will not say it here and now, while we are in the midst of our army.
str_talk_later_cunning|This is hardly the time or the place for such a discussion. Perhaps we can discuss it at a later time and a different place, but for now we're still foes.
str_talk_later_sadistic|You should have your mouth sewn shut! Can you imagine what would happen if the other vassals see me talking to you of treason?
str_talk_later_goodnatured|So you wish to discuss your rebellion with me? Try that again when we aren't surrounded by my liege's army, and I will hear what you have to say.
str_talk_later_upstanding|Whatever my thoughts on the legitimacy of the succession, I am not about to discuss them here and now. If we meet again when we can talk in privacy, I will hear what you have to say on the matter. But for now, consider me your enemy.
str_gossip_about_character_default|They say that {s6} doesn't possess any interesting character traits.
str_gossip_about_character_martial|They say that {s6} loves nothing more than war.
str_gossip_about_character_quarrelsome|They say that {s6} almost came to blows with another lord lately, because the man made a joke about his nose.
str_gossip_about_character_selfrighteous|I heard that {s6} had a squire executed because the unfortunate man killed a deer in his forest.
str_gossip_about_character_cunning|They say that {s6} is a cunning opponent.
str_gossip_about_character_sadistic|They say that {s6} likes to torture his enemies. I wouldn't want to get on the bad side of that man.
str_gossip_about_character_goodnatured|They say that {s6} is a good man and treats people living in his lands decently. That is more than what can be said for most of the nobles.
str_gossip_about_character_upstanding|People say that it is good to be in the service of {s6}. He is good to his followers, and rewards them if they work well.
str_latest_rumor|El último rumor que has oído acerca de {s6} fué:
str_swadian_rebellion_pretender_intro|I am Isolla, rightful Queen of the Swadians.
str_vaegir_rebellion_pretender_intro|My name is Valdym. Some men call me 'the Bastard.' I am a prince of the Vaegirs, but by all rights I should be their king, instead of my cousin Yaroglek.
str_khergit_rebellion_pretender_intro|I am Dustum Khan, son of Janakir Khan, and rightful Khan of the Khergits.
str_nord_rebellion_pretender_intro|I am Lethwin Far-Seeker, son of Hakrim the Old, who should be king of the Nords of Calradia.
str_rhodok_rebellion_pretender_intro|I am Lord Kastor, the rightful King of the Rhodoks, who will free them from tyranny.
str_swadian_rebellion_pretender_story_1|I was the only child of my father, King Esterich. Although I am a woman, he loved me like a son and named me his heir -- not once, but several times, before the grandest nobles of the land so that none could doubt his intention. There is no law that bars a woman from ruling -- indeed, we Swadians tell tales of warrior queens who ruled us in our distant past.
str_vaegir_rebellion_pretender_story_1|My father died when I was young, leaving me in the care of his brother, the regent Burelek. But rather than hold the throne until I came of age, this usurper used his newfound power to accuse my mother of adultery, and to claim that I was not my father's son. She was executed for treason, and I was declared a bastard.
str_khergit_rebellion_pretender_story_1|Sanjar Khan and I are brothers, sons of the old Janakir Khan, although of different mothers. Although I was the younger brother, all those who knew the old Khan will testify that throughout my father's life, I was his favorite, entrusted with the responsibilities of government. Sanjar busied himself with hunts and feasts to win the affection of the more dissolate of my father's commanders.
str_nord_rebellion_pretender_story_1|I am called the Far-Seeker because I have travelled great distances, even by the standards of the Nords, in search of knowledge. Before I came of age, my father sent me abroad on a tour of study at the courts and universities in the lands overseas. If the Nords are to call themselves the heirs of the Calradian empire, then they must act the part, and know something of law and letters, and not call themselves content merely to fight, plunder, and drink.
str_rhodok_rebellion_pretender_story_1|The Rhodoks are a free people, and not slaves to any hereditary monarch. The king must be chosen from one of the leading noble families of the land, by a council drawn by lot from the patricians of the cities of Jelkala, Veluca, and Yalen. The council meets on a field before Jelkala, and no man is allowed to appear in arms during their deliberations, on pain of death.
str_swadian_rebellion_pretender_story_2|Yet when my father died, his cousin Harlaus convinced the nobles that no Swadian king of sound mind could name a woman as his heir. Harlaus said that his designation of me was the act of a madman, and thus had no legal standing, and that he, as my father's closest male relative, should of take the throne.
str_vaegir_rebellion_pretender_story_2|I was smuggled abroad by a faithful servant, but now I am of age and have returned to reclaim what is rightfully mine. Burelek died soon after his act of perfidy -- the judgment of heaven, no doubt. His son Yaroglek now calls himself king, but as his claim is tainted, he is no less a usurper than his father, and I will topple him from his throne.
str_khergit_rebellion_pretender_story_2|According to Khergit custom, when a man dies his herds are split between all his sons, equally. So too it is with the khanate. When I heard of my father's death, I was away inspecting our borders, but I hurried home to Tulga, ready to give Sanjar his due and share the khanate with him. But when I arrived, I found that he rushed his supporters to the court, to have himself proclaimed as the sole khan.
str_nord_rebellion_pretender_story_2|My father died however before I completed my course of study, and as I hurried home to claim his throne my ship was wrecked by a storm. One of my father's thanes, Ragnar, seized this opportunity and spread rumors that I had died abroad. He summoned a gathering of his supporters to have himself proclaimed king, and has taken the past few years to consolidate his power.
str_rhodok_rebellion_pretender_story_2|During the last selection, there were but two candidates, myself, and Lord Graveth. While the council was deliberating, Graveth appeared, sword in hand, telling them that a Swadian raiding party was about to descend on the field of deliberation -- which was true, by the way -- and if he were not elected king, then he would leave them to their fate.
str_swadian_rebellion_pretender_story_3|I will admit that I did my cause no good by cursing Harlaus and all who listened to him as traitors, but I also believe that the magistrates who ruled in his favor were bought. No matter -- I will raise an army of loyal subjects, who would honour their old king's memory and will. And if anyone doubts that a woman can wield power, then I will prove them wrong by taking Harlaus' ill-gotten crown away from him.
str_vaegir_rebellion_pretender_story_3|Until I have my rights restored in the sight of all the Vaegirs, I will bear the sobriquet, 'the Bastard', to remind me of what I must do.
str_khergit_rebellion_pretender_story_3|My brother thinks that Khergits will only respect strength: a leader who takes what he wants, when he wants it. But I think that he misreads the spirit of our people.--we admire a resolute leader, but even more we a just one, and we know that a man who does not respect his own brother's rights will not respect the rights of his followers.
str_nord_rebellion_pretender_story_3|So I remain in exile -- except now I am not looking for sages to tutor me in the wisdom of faraway lands, but warriors, to come with me back to the land of the Nords and regain my throne. If Ragnar doubts my ability to rule, then let him say so face to face, as we stare at each other over the rims of our shields. For a warrior can be a scholar, and a scholar a warrior, and to my mind, only one who combines the two is fit to be king!
str_rhodok_rebellion_pretender_story_3|Well, Graveth defeated the Swadians, and for that, as a Rhodok, I am grateful. When I am king, I will myself place the wreath of victory on his head. But after that I will have it separated from his shoulders, for by his actions he has shown himself a traitor to the Rhodok confederacy and its sacred custom.
str_swadian_rebellion_monarch_response_1|Isolla thinks she should be Queen of the Swadians? Well, King Esterich had a kind heart, and doted on his daughter, but a good-hearted king who doesn't use his head can be a curse to his people. Isolla may tell you stories of warrior queens of old, but you might also recall that all the old legends end in the same way -- with the Swadians crushed underfoot by the armies of the Calradic Emperor.
str_vaegir_rebellion_monarch_response_1|Were Valdym to come to me in peace, I would laden him with titles and honours, and he would become the greatest of my vassals. But as he comes in war, I will drag him before me in chains and make him acknowledge me as rightful sovereign, then cut his tongue from his mouth so that he cannot recant.
str_khergit_rebellion_monarch_response_1|My brother Dustum has perhaps told you of his insistence upon splitting the khanate, as though it were a herd of sheep. Let me tell you something. Ever since the Khergits established themselves on this land, the death of every khan has had the same result -- the land was divided, the khan's sons went to war, and the strongest took it all anyway. I simply had the foresight to stave off the civil war in advance.
str_nord_rebellion_monarch_response_1|Lethwin 'Far-Seeker'? Lethwin Inkfingers, is more like it. Perhaps you have heard the expression, 'Unhappy is the land whose king is a child.' Unhappy too is the land whose king is a student. You want the Nords to be ruled by a beardless youth, whose hand bears no callouses left by a sword's grip, who has never stood in a shield wall? If Lethwin were king, his thanes would laugh at him to his face!
str_rhodok_rebellion_monarch_response_1|No doubt Lord Kastor told you that I defiled the hallowed Rhodok custom by interfering with the patricians' election of a king. Well, let me tell you something. The patricians of the planet make longwinded speeches about our ancient liberties, but then choose as their king whichever noble last sat in their villa and sipped a fine wine and promised to overlook their unpaid taxes.
str_swadian_rebellion_monarch_response_2|Those who weep for the plight of a Swadian princess denied her father's throne should reflect instead on the fate of a Swadian herdswoman seized by a Vaegir raider and taken as chattel to the slave markets. Talk to me of queens and old stories when our warlike neighbors are vanquished, and our land is at peace.
str_vaegir_rebellion_monarch_response_2|Whatever my father may or may not have done to secure the throne does not matter. I have inherited it, and that is final. If every old claim were to be brought up anew, if every man's inheritance could be called into question at any time, then it would be the end of the institution of kingship, and we would live in a state of constant civil war.
str_khergit_rebellion_monarch_response_2|Dustum would make a fine assessor of flocks, or adjudicator of land disputes. But can you imagine such a man as khan? We would be run off of our land in no time by our neighbors, and return to our old days of starving and freezing on the steppe.
str_nord_rebellion_monarch_response_2|Old Hakrim may have had fancy ideas about how to dispose of his kingdom, but it is not just royal blood that makes a King of the Nords. I am king by acclamation of the thanes, and by right of being the strongest. That counts for more than blood, and woe to any man in this land who says otherwise.
str_rhodok_rebellion_monarch_response_2|The only liberty that concerns them is their liberty to grow fat. Meanwhile, my men sleep out on the steppe, and eat dry bread and salt fish, and scan the horizon for burning villages, and shed our blood to keep the caravan routes open. Here's an idea -- if I ever meet a merchant who limps from a Khergit arrow-wound or a Swadian sword-stroke, then I'll say, 'Here's a man whose counsel is worth taking.'
str_credits_1|Mount&Blade Copyright 2001-2008 Taleworlds Entertainment
str_credits_2|Game design:^Armagan Yavuz^Steve Negus^Cem Cimenbicer
str_credits_3|Programming:^Armagan Yavuz^Cem Cimenbicer
str_credits_4|CG Artists:^Ipek Yavuz^Ozgur Saral^Mustafa Ozturk
str_credits_8|Animation:^Pinar Cekic^Umit Singil
str_credits_5|Concept Artist:^Ganbat Badamkhand
str_credits_6|Writing:^Steve Negus^Ryan A. Span^Armagan Yavuz
str_credits_9|Original Music:^Jesse Hopkins
