dlga_start:member_talk|¿Sí?
dlga_mayor_talk:merchant_quest_requested|Do you happen to have a job for me?
dlga_mayor_talk:merchant_quest_last_offered_job|About that job you offered me...
dlga_mayor_talk:merchant_quest_about_job|About the job you gave me...
dlga_mayor_talk:close_window|[Leave]
dlga_mayor_info_begin:mayor_info_talk|I am the guildmaster of {s9}. You can say I am the leader of the good people of {s9}. I can help you find a job if you are looking for some honest work.
dlga_mayor_info_talk:mayor_info_lord|Who rules this planet?
dlga_mayor_info_lord:mayor_info_talk|Our planet's lord and protector is {s10}. He owns the main hall and sometimes resides there, and collects taxes from this planet. However we regulate ourselves in most of the matters that concern ourselves. As the planet's guildmaster I have the authority to decide those things.
dlga_mayor_info_talk:mayor_pretalk|That's all I need to know. Thanks.
dlga_merchant_quest_about_job:merchant_quest_about_job_2|What about it?
dlga_merchant_quest_about_job_2:merchant_quest_what_if_fail|What if I can't finish it?
dlga_merchant_quest_about_job_2:merchant_quest_about_job_working|Well, I'm still working on it.
dlga_merchant_quest_about_job_working:mayor_pretalk|Good. I'm sure you will handle it.
dlga_merchant_quest_last_offered_job:merchant_quest_brief|Eh, you want to reconsider that. Good...
dlga_merchant_quest_what_if_fail:mayor_pretalk|I hope you don't fail. In that case, I'll have to ask for the price of the cargo you were carrying.
dlga_merchant_quest_what_if_fail:mayor_pretalk.1|Well, just do your best to finish it.
dlga_merchant_quest_taken:mayor_pretalk|Excellent. I am counting on you then. Good luck.
dlga_merchant_quest_stall:mayor_pretalk|Well, the job will be available for a few more days I guess. Tell me if you decide to take it.
dlga_merchant_quest_requested:merchant_quest_brief|Well, you look able enough. I think I might have something you could do.
dlga_merchant_quest_brief:merchant_quest_looters_choice|We've had some fighting near the {s5} lately, with all the chaos that comes with it, and that's led some of our less upstanding locals to try and make their fortune out of looting the shops and farms during the confusion. A lot of valuable goods were taken. I need somebody to teach those bastards a lesson. Sound like your kind of work?
dlga_merchant_quest_looters_choice:merchant_quest_looters_brief|Aye, I'll do it.
dlga_merchant_quest_looters_choice:merchant_quest_stall|I'm afraid I can't take the job at the moment.
dlga_merchant_quest_looters_brief:close_window|Excellent! You'll find the looters roaming around the countryside, probably trying to rob more good people. Kill or capture the bastards, I don't care what you do with them. I'll pay you a bounty of 40 credits on every band of looters you destroy, until all the looters are dealt with.
dlga_merchant_quest_requested:merchant_quest_brief.1|You're looking for a job? Actually I was looking for someone to deliver some {s4}. Perhaps you can do that...
dlga_merchant_quest_brief:merchant_quest_brief_deliver_wine|I have a cargo of {s6} that needs to be delivered to the tavern in {s4}. If you can take {reg5} units of {s6} to {s4} in 7 days, you may earn {reg8} credits. What do you say?
dlga_merchant_quest_brief_deliver_wine:merchant_quest_taken|Alright. I will make the delivery.
dlga_merchant_quest_brief_deliver_wine:merchant_quest_stall|I am afraid I can't carry all that cargo now.
dlga_merchant_quest_requested:merchant_quest_brief.2|You're looking for a job? Actually I was looking for someone to escort a caravan. Perhaps you can do that...
dlga_merchant_quest_brief:escort_merchant_caravan_quest_brief|I am going to send a caravan of goods to {s8}. However with all those bandits and deserters on the roads, I don't want to send them out without an escort. If you can lead that caravan to {s8} in 15 days, you will earn {reg8} credits. Of course your party needs to be at least {reg4} strong to offer them any protection.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_taken|Alright. I will escort the caravan.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall|I am afraid I don't have that many soldiers with me.
dlga_escort_merchant_caravan_quest_brief:merchant_quest_stall.1|Sorry. I can't do that right now
dlga_start:close_window.21|We can cover the rest of the way ourselves. Thanks.
dlga_start:close_window.22|Well, we have almost reached {s21}. We can cover the rest of the way ourselves. Here's your pay... {reg14} credits. Thanks for escorting us. Good luck.
dlga_start:merchant_caravan_intro_1|Greetings. You must be our escort, right?
dlga_merchant_caravan_intro_1:merchant_caravan_intro_2|Yes. My name is {playername}. I will lead you to {s1}.
dlga_merchant_caravan_intro_2:escort_merchant_caravan_talk|Well, It is good to know we won't travel alone. What do you want us to do now?
dlga_start:escort_merchant_caravan_talk|Eh. We've made it this far... What do you want us to do?
dlga_escort_merchant_caravan_talk:merchant_caravan_follow_lead|You follow my lead. I'll take you through a safe route.
dlga_merchant_caravan_follow_lead:close_window|Alright. We'll be right behind you.
dlga_escort_merchant_caravan_talk:merchant_caravan_stay_here|You stay here for a while. I'll go ahead and check the road.
dlga_merchant_caravan_stay_here:close_window|Alright. We'll be waiting here for you.
dlga_merchant_quest_requested:merchant_quest_brief.3|Actually, I was looking for an able adventurer like you. There's this group of particularly troublesome bandits. They have infested the vicinity of the planet and are preying on my caravans. They have avoided all the soldiers and the militias up to now. If someone doesn't stop them soon, I am going to be ruined...
dlga_merchant_quest_brief:troublesome_bandits_quest_brief|I will pay you {reg8} credits if you hunt down those troublesome bandits. It's dangerous work. But I believe that you are the {man/one} for it. What do you say?
dlga_troublesome_bandits_quest_brief:merchant_quest_taken_bandits|Alright. I will hunt down those bandits.
dlga_merchant_quest_taken_bandits:close_window|You will? I am so happy to hear that. Good luck to you.
dlga_troublesome_bandits_quest_brief:merchant_quest_stall|Sorry. I don't have time for this right now.
dlga_merchant_quest_requested:merchant_quest_brief.4|Actually, I was looking for a reliable {man/helper} that can undertake an important mission. A group of bandits have kidnapped the daughter of a friend of mine and are holding her for ransom. My friend is ready to pay them, but we still need someone to take the money to those rascals and bring the girl back to safety.
dlga_merchant_quest_brief:kidnapped_girl_quest_brief|The amount the bandits ask as ransom is {reg12} credits. I will give you that money once you accept to take the quest. You have 15 days to take the money to the bandits who will be waiting near the planet of {s4}. Those bastards said that they are going to kill the poor girl if they don't get the money by that time. You will get your pay of {reg8} credits when you bring the girl safely back here.
dlga_kidnapped_girl_quest_brief:kidnapped_girl_quest_taken|Alright. I will take the ransom money to the bandits and bring back the girl.
dlga_kidnapped_girl_quest_taken:close_window|Good. I knew we could trust you at this. Here is the ransom money, {reg12} credits. Count it before taking it. And please, don't attempt to do anything rash. Keep in mind that the girl's well being is more important than anything else...
dlga_kidnapped_girl_quest_brief:merchant_quest_stall|Sorry. I don't have time for this right now.
dlga_start:close_window.23|Thank you so much for bringing me back!  I can't wait to see my family. Good-bye.
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2a|Yes. Come with me. We are going home.
dlga_kidnapped_girl_liberated_map_2a:close_window|Unfortunately. You do not have room in your party for me.
dlga_kidnapped_girl_liberated_map_2a:close_window.1|Oh really? Thank you so much!
dlga_kidnapped_girl_liberated_map:kidnapped_girl_liberated_map_2b|Wait here a while longer. I'll come back for you.
dlga_kidnapped_girl_liberated_map_2b:close_window|Oh, please {sir/madam}, do not leave me here all alone!
dlga_start:kidnapped_girl_liberated_map|Oh {sir/madam}. Thank you so much for rescuing me. Will you take me to my family now?
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2a|Yes. Come with me. We are going home.
dlga_kidnapped_girl_liberated_battle_2a:kidnapped_girl_liberated_battle_2b|Unfortunately. You do not have room in your party for me.
dlga_kidnapped_girl_liberated_battle_2a:close_window|Oh really? Thank you so much!
dlga_kidnapped_girl_liberated_battle:kidnapped_girl_liberated_battle_2b|Wait here a while longer. I'll come back for you.
dlga_kidnapped_girl_liberated_battle_2b:close_window|Oh, please {sir/madam}, do not leave me here all alone!
dlga_start:kidnapped_girl_liberated_map.1|Can I come with you now?
dlga_start:bandits_awaiting_ransom_intro_1|Are you the one that brought the ransom? Quick, give us the money now.
dlga_start:bandits_awaiting_ransom_intro_1.1|You came back? Quick, give us the money now.
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_pay|Here, take the money. Just set the girl free.
dlga_bandits_awaiting_ransom_pay:close_window|Heh. You've brought the money all right. You can take the girl now. It was a pleasure doing business with you...
dlga_bandits_awaiting_ransom_intro_1:bandits_awaiting_ransom_b|No way! You release the girl first.
dlga_bandits_awaiting_ransom_b:bandits_awaiting_ransom_b2|You fool! Stop playing games and give us the money! 
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_pay|All right. Here's your money. Let the girl go now.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_no_money|I had left the money in a safe place. Let me go fetch it.
dlga_bandits_awaiting_ransom_no_money:close_window|Are you testing our patience or something?  Go and bring that money here quickly.
dlga_bandits_awaiting_ransom_b2:bandits_awaiting_ransom_fight|I have no intention to pay you anything. I demand that you release the girl now!
dlga_bandits_awaiting_ransom_fight:close_window|You won't be demanding anything when you're dead.
dlga_start:bandits_awaiting_remeet|What's it? You have given us the money. We have no more business.
dlga_bandits_awaiting_remeet:close_window|Sorry to bother you. I'll be on my way now.
dlga_bandits_awaiting_remeet:bandits_awaiting_remeet_2|We have one more business. You'll give the money back to me.
dlga_bandits_awaiting_remeet_2:close_window|Oh, that business! Of course. Let us get down to it.
dlga_start:kidnapped_girl_encounter_1|Oh {sir/madam}. Thank you so much for rescuing me. Will you take me to my family now?
dlga_kidnapped_girl_encounter_1:kidnapped_girl_join|Yes. Come with me. I'll take you home.
dlga_kidnapped_girl_join:close_window|Unfortunately. You do not have room in your party for me.
dlga_kidnapped_girl_join:close_window.1|Oh, thank you so much!
dlga_kidnapped_girl_encounter_1:kidnapped_girl_wait|Wait here a while longer. I'll come back for you.
dlga_kidnapped_girl_wait:close_window|Oh, please {sir/madam}, do not leave me here all alone!
dlga_merchant_quest_about_job_2:lost_kidnapped_girl|Unfortunately I lost the girl on the way here...
dlga_lost_kidnapped_girl:lost_kidnapped_girl_2|Oh no! How am I going to tell this to my friend?
dlga_lost_kidnapped_girl_2:lost_kidnapped_girl_3|I'm sorry. I could do nothing about it.
dlga_lost_kidnapped_girl_3:lost_kidnapped_girl_4|You let me down {playername}. I had trusted you. I will let people know of your incompetence at this task. Also, I want back that {reg8} credits I gave you as the ransom fee.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5a|Of course. Here you are...
dlga_merchant_quest_about_job_5a:close_window|At least you have the decency to return the money.
dlga_lost_kidnapped_girl_4:merchant_quest_about_job_5b|Sorry. I don't have that amount with me.
dlga_merchant_quest_about_job_5b:close_window|Do you expect me to believe that? You are going to pay that ransom fee back! Go and bring the money now!
dlga_merchant_quest_requested:merchant_quest_persuade_peace_1|This war between {s15} and {s14} has brought our planet to the verge of ruin. Our caravans get raided before they can reach their destination. Our merchants are afraid to leave the safety of the planet shields. And as if those aren't enough, the taxes to maintain the war take away the last bits of our savings. If peace does not come soon, we can not hold on for much longer.
dlga_merchant_quest_persuade_peace_1:merchant_quest_brief|You are right. But who can stop this madness called war?
dlga_merchant_quest_persuade_peace_1:merchant_quest_persuade_peace_reject|It is your duty to help the nobles in their war effort. You shouldn't complain about it.
dlga_merchant_quest_persuade_peace_reject:close_window|Hah. The nobles fight their wars for their greed and their dreams of glory. And it is poor honest folk like us who have to bear the real burden. But you obviously don't want to hear about that.
dlga_merchant_quest_brief:merchant_quest_persuade_peace_3|There have been attempts to reconcile the two sides and reach a settlement. However, there are powerful lords on both sides whose interests lie in continuing the war. These men urge all others not to heed to the word of sensible men, but to keep fighting. While these leaders remain influential, no peace settlement can be reached.
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4|Who are these warmongers who block the way of peace?
dlga_merchant_quest_persuade_peace_3:merchant_quest_persuade_peace_4.1|Who are these lords you speak of?
dlga_merchant_quest_persuade_peace_4:merchant_quest_persuade_peace_5|They are {s12} from {s15} and {s13} from {s14}. Until they change their mind or lose their influence, there will be no chance of having peace between the two sides.
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6|What can be done about this?
dlga_merchant_quest_persuade_peace_5:merchant_quest_persuade_peace_6.1|Alas, it seems nothing can be done about it.
dlga_merchant_quest_persuade_peace_6:merchant_quest_persuade_peace_7|There is a way to resolve the issue. A particularly determined person can perhaps persuade one or both of these lords to accept making peace. And even if that fails, it can be possible to see that these lords are defeated by force and taken prisoner. If they are captive, they will lose their influence and they can no longer oppose a settlement... What do you think? Can you do it?
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8|It seems difficult. But I will try.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.1|If the price is right, I may.
dlga_merchant_quest_persuade_peace_7:merchant_quest_persuade_peace_8.2|Forget it. This is not my problem.
dlga_merchant_quest_persuade_peace_8:merchant_quest_persuade_peace_9|Most of the merchants on the planet will gladly open up their purses to support such a plan. I think we can collect {reg12} credits between ourselves. We will be happy to reward you with that sum, if you can work this out. Convince {s12} and {s13} to accept a peace settlement, and if either of them proves too stubborn, make sure he falls captive and can not be ransomed until a peace deal is settled.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_10|All right. I will do my best.
dlga_merchant_quest_persuade_peace_9:merchant_quest_persuade_peace_no|Sorry. I can not do this.
dlga_merchant_quest_persuade_peace_10:close_window|Excellent. You will have our blessings. I hope you can deal with those two old goats. We will be waiting and hoping for the good news.
dlga_merchant_quest_persuade_peace_no:close_window|Don't say no right away. Think about this for some time. If there is a {man/lady} who can manage to do this, it is you.
dlga_merchant_quest_requested:merchant_quest_deal_with_night_bandits|Do I indeed! There's a group of bandits infesting the planet, and I'm at the end of my rope as to how to deal with them. They've been ambushing and robbing citizens under the cover of night, and then fading away quick as lightning when the guards finally show up. We've not been able to catch a one of them. They only attack lone people, never daring to show themselves when there's a group about. I need someone who can take on these bandits alone and win. That seems to be the only way of bringing them to justice. Are you up to the task?
dlga_merchant_quest_brief:merchant_quest_deal_with_night_bandits|There's a group of bandits infesting the planet, and I'm at the end of my rope as to how to deal with them. They've been ambushing and robbing citizens under the cover of night, and then fading away quick as lightning when the guards finally show up. We've not been able to catch a one of them. They only attack lone people, never daring to show themselves when there's a group about. I need someone who can take on these bandits alone and win. That seems to be the only way of bringing them to justice. Are you up to the task?
dlga_merchant_quest_deal_with_night_bandits:deal_with_night_bandits_quest_taken|Killing bandits? Why, certainly!
dlga_merchant_quest_deal_with_night_bandits:merchant_quest_stall|My apologies, I'm not interested.
dlga_deal_with_night_bandits_quest_taken:mayor_pretalk|That takes a weight off my shoulders, {playername}. You can expect a fine reward if you come back successful. Just don't get yourself killed, eh?
dlga_merchant_quest_requested:merchant_quest_brief.5|One of the merchants here is looking for a nerf herder to take his nerfs to the market at {s13}.
dlga_merchant_quest_brief:move_cattle_herd_quest_brief|The nerf herd must be at {s13} within 30 days. Sooner is better, much better, but it must be absolutely no later than 30 days. If you can do that, I'd be willing to pay you {reg8} credits for your trouble. Interested?
dlga_move_cattle_herd_quest_brief:move_cattle_herd_quest_taken|Aye, I can take the herd to {s13}.
dlga_move_cattle_herd_quest_brief:merchant_quest_stall|I am sorry, but no.
dlga_move_cattle_herd_quest_taken:mayor_pretalk|Splendid. You can find the herd in orbit above the planet. After you take the animals to {s13}, return back to me and I will give you your pay.
dlga_merchant_quest_requested:mayor_pretalk|I am afraid I can't offer you a job right now.
dlga_start:village_elder_deliver_cattle_thank|My good {sir/madam}. Our planet is grateful for your help. Thanks to the herd of {reg5} nerfs you have brought, we can now raise our own herd.
dlga_village_elder_deliver_cattle_thank:village_elder_talk|My good {lord/lady}, please, is there anything I can do for you?
dlga_start:village_elder_talk|Good day, {sir/madam}, and welcome to {s9}. I am the administrator of this planet.
dlga_start:village_elder_talk.1|Welcome to {s9}, my {lord/lady}. We were rejoiced by the news that you are the new {lord/lady} of our humble village. I am the planet elder and I will be honoured to serve you in any way I can.
dlga_start:village_elder_talk.2|{My lord/My lady}, you honour our humble planet with your presence.
dlga_start:village_elder_talk.3|Good day, {sir/madam}.
dlga_village_elder_pretalk:village_elder_talk|Is there anything else I can do for you?
dlga_village_elder_talk:village_elder_ask_fugitive|I am looking for a man by the name of {s4}. I was told he may be hiding here.
dlga_village_elder_talk:village_elder_ask_fugitive.1|I am looking for a CIS officer named {s4}. I was told they may be here.
dlga_village_elder_talk:village_elder_ask_fugitive.2|I am looking for a farmer named {s4}. I was told they may be here.
dlga_village_elder_talk:village_elder_ask_fugitive.3|I am looking for someone named {s4}. I was told they may be here.
dlga_village_elder_talk:village_elder_ask_fugitive.4|I am looking for a pirate named {s4}. I was told they may be here.
dlga_village_elder_talk:village_elder_ask_fugitive.5|I am looking for a bountyhunter named {s4}. I was told they may be here.
dlga_village_elder_talk:village_elder_ask_fugitive.6|I am looking for a smuggler named {s4}. I was told they may be here.
dlga_village_elder_ask_fugitive:village_elder_pretalk|Strangers come and go to our village, {sir/madam}. But I doubt you'll run into him at this hour of the night. You would have better luck during the day.
dlga_village_elder_ask_fugitive:close_window|Strangers come and go to our planet, {sir/madam}. If he is hiding here, you will surely find him if you look around.
dlga_village_elder_talk:village_elder_active_mission_1|About the task you asked of me...
dlga_village_elder_talk:village_elder_request_mission_ask|Do you have any tasks I can help you with?
dlga_village_elder_talk:village_elder_trade_begin|I want to buy some supplies. I will pay with gold.
dlga_village_elder_trade_begin:village_elder_trade_talk|Of course, {sir/madam}. Do you want to buy goods or nerfs?
dlga_village_elder_trade_talk:village_elder_trade|I want to buy food and supplies.
dlga_village_elder_trade:village_elder_pretalk|We have some food and other supplies in our storehouse. Come have a look.
dlga_village_elder_trade_talk:village_elder_buy_cattle|I want to buy some nerfs.
dlga_village_elder_trade_talk:village_elder_pretalk|I changed my mind. I don't need to buy anything.
dlga_village_elder_talk:village_elder_ask_enemies|Have you seen any enemies around here recently?
dlga_village_elder_ask_enemies:village_elder_pretalk|I am sorry, {sir/madam}. We have neither seen nor heard of any war parties in this area.
dlga_village_elder_ask_enemies:village_elder_tell_enemies|Hmm. Let me think about it...
dlga_village_elder_tell_enemies:village_elder_tell_enemies|{s1} {s2}
dlga_village_elder_tell_enemies:village_elder_pretalk|No, {sir/madam}. We haven't seen any war parties in this area for some time.
dlga_village_elder_tell_enemies:village_elder_pretalk.1|Well, I guess that was all.
dlga_village_elder_talk:village_elder_recruit_start|Are there any lads from this planet who might want to seek their fortune in the wars?
dlga_village_elder_talk:close_window|[Leave]
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2|We have {reg5} nerfs, each for {reg6} credits. How many do you want to buy?
dlga_village_elder_buy_cattle:village_elder_buy_cattle_2.1|I am afraid we have no nerfs left on the planet {sir/madam}.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete|One.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.1|Two.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.2|Three.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.3|Four.
dlga_village_elder_buy_cattle_2:village_elder_buy_cattle_complete.4|Five.
dlga_village_elder_buy_cattle_2:village_elder_pretalk|Forget it.
dlga_village_elder_buy_cattle_complete:village_elder_pretalk|I will tell the herders to round up the animals and bring them to you, {sir/madam}. I am sure you will be satisfied with your purchase.
dlga_village_elder_recruit_start:village_elder_talk|I don't think anyone would be interested, {sir/madam}. Is there anything else I can do for you?
dlga_village_elder_recruit_start:village_elder_recruit_decision|I can think of {reg5} whom I suspect would jump at the chance. If you could pay 10 credits {reg7?each for their equipment:for his equipment}. Does that suit you?
dlga_village_elder_recruit_decision:village_elder_pretalk|So be it.
dlga_village_elder_recruit_decision:village_elder_pretalk.1|Tell {reg7?them:him} to make ready.
dlga_village_elder_recruit_decision:village_elder_pretalk.2|No, not now.
dlga_village_elder_active_mission_1:village_elder_active_mission_2|Yes {sir/madam}, have you made any progress on it?
dlga_village_elder_active_mission_2:village_elder_deliver_grain_thank|Indeed. I brought you {reg5} packs of wheat.
dlga_village_elder_deliver_grain_thank:village_elder_deliver_grain_thank_2|My good {lord/lady}. You have saved us from hunger and desperation. We cannot thank you enough, but you'll always be in our prayers. The planet of {s13} will not forget what you have done for us.
dlga_village_elder_deliver_grain_thank_2:village_elder_talk|My good {lord/lady}, please, is there anything I can do for you?
dlga_village_elder_active_mission_2:village_elder_active_mission_3|I am still working on it.
dlga_village_elder_active_mission_2:village_elder_mission_failed|I am afraid I won't be able to finish it.
dlga_village_elder_active_mission_3:village_elder_pretalk|Thank you, {sir/madam}. We are praying for your success everyday.
dlga_village_elder_mission_failed:village_elder_pretalk|Ah, I am sorry to hear that {sir/madam}. I'll try to think of something else.
dlga_village_elder_request_mission_ask:village_elder_pretalk|Well {sir/madam}, you are already engaged with a task helping us. We cannot ask more from you.
dlga_village_elder_request_mission_ask:village_elder_pretalk.1|No {sir/madam}, We don't have any other tasks for you.
dlga_village_elder_request_mission_ask:village_elder_tell_mission|A task?
dlga_village_elder_tell_mission:village_elder_tell_deliver_grain_mission|{My good sir/My good lady}, our planet has been going through such hardships lately. The harvest has been bad, and recently some merciless bandits took away our seed grain that we had reserved for the planting season. If we cannot find some grain soon, we will not be able to plant our fields and then we will have nothing to eat for the coming year. If you can help us, we would be indebted to you forever.
dlga_village_elder_tell_deliver_grain_mission:village_elder_tell_deliver_grain_mission_2|Hmmm. How much grain do you need?
dlga_village_elder_tell_deliver_grain_mission:village_elder_deliver_grain_mission_reject|I can't be bothered with this. Ask help from someone else.
dlga_village_elder_tell_deliver_grain_mission_2:village_elder_tell_deliver_grain_mission_3|I think {reg5} packs of wheat will let us start the planting. Hopefully, we can find charitable people to help us with the rest.
dlga_village_elder_tell_deliver_grain_mission_3:village_elder_deliver_grain_mission_accept|Then I will go and find you the wheat you need.
dlga_village_elder_tell_deliver_grain_mission_3:village_elder_deliver_grain_mission_reject|I am afraid I don't have time for this. You'll need to find help elsewhere.
dlga_village_elder_deliver_grain_mission_accept:close_window|Thank you, {sir/madam}. We'll be praying for you night and day.
dlga_village_elder_deliver_grain_mission_reject:close_window|Yes {sir/madam}, of course. I am sorry if I have bothered you with our troubles.
dlga_village_elder_tell_mission:village_elder_tell_train_peasants_against_bandits_mission|We are suffering greatly at the hands of a group of bandits. They take our food and livestock, and kill anyone who doesn't obey them immediately. Our men are angry that we cannot defend ourselves, but we are only simple farmers... However, with some help, I think that some of the people here could be more than that. We just need an experienced warrior to teach us how to fight.
dlga_village_elder_tell_train_peasants_against_bandits_mission:village_elder_train_peasants_against_bandits_mission_accept|I can teach you how to defend yourself.
dlga_village_elder_tell_train_peasants_against_bandits_mission:village_elder_train_peasants_against_bandits_mission_reject|You peasants have no business taking up arms. Just pay the bandits and be off with it.
dlga_village_elder_train_peasants_against_bandits_mission_accept:close_window|You will? Oh, splendid! We would be deeply indebted to you, {sir/madam}. I'll instruct the citizens to assemble here and receive your training. If you can teach us how to defend ourselves, I promise you'll receive everything we can give you in return for your efforts.
dlga_village_elder_train_peasants_against_bandits_mission_reject:close_window|Yes, of course {sir/madam}. Thank you for your counsel.
dlga_village_elder_tell_mission:village_elder_tell_deliver_cattle_mission|Bandits have driven away our nerfs. Our pastures are empty. If we had a few nerfs we could start to raise a herd again.
dlga_village_elder_tell_deliver_cattle_mission:village_elder_tell_deliver_cattle_mission_2|How many animals do you need?
dlga_village_elder_tell_deliver_cattle_mission:village_elder_deliver_cattle_mission_reject|I don't have time for this. Ask help from someone else.
dlga_village_elder_tell_deliver_cattle_mission_2:village_elder_tell_deliver_cattle_mission_3|I think {reg5} heads will suffice for a small herd.
dlga_village_elder_tell_deliver_cattle_mission_3:village_elder_deliver_cattle_mission_accept|Then I will bring you the nerfs you need.
dlga_village_elder_tell_deliver_cattle_mission_3:village_elder_deliver_cattle_mission_reject|I am afraid I don't have time for this. You'll need to find help elsewhere.
dlga_village_elder_deliver_cattle_mission_accept:close_window|Thank you, {sir/madam}. We'll be praying for you night and day.
dlga_village_elder_deliver_cattle_mission_reject:close_window|Yes {sir/madam}, of course. I am sorry if I have bothered you with our troubles.
dlga_village_elder_tell_mission:village_elder_pretalk|Thank you, {sir/madam}, but we do not really need anything right now.
dlga_start:goods_merchant_talk|{My lord/my lady}, you honour my humble shop with your presence.
dlga_start:goods_merchant_talk.1|Welcome {sir/madam}. What can I do for you?
dlga_goods_merchant_pretalk:goods_merchant_talk|Anything else?
dlga_goods_merchant_talk:goods_trade_requested|I want to buy a few items... and perhaps sell some.
dlga_goods_trade_requested:goods_trade_completed|Sure, sure... Here, have a look at my stock...
dlga_goods_trade_completed:goods_merchant_talk|Anything else?
dlga_goods_merchant_talk:trade_info_request|What goods should I buy here to trade with other planets?
dlga_goods_merchant_talk:close_window|Nothing. Thanks.
dlga_trade_info_request:trade_info_request_2|That information can be best obtained from caravan masters and travelling merchants. If you want I can send you to the district where foreign merchants stay at when they come to the planet. If you spend some time there and listen to the talk, you can learn a lot about what to buy and where to sell it.
dlga_trade_info_request_2:close_window|Then I'll go and spend some time with these merchants.
dlga_trade_info_request_2:goods_merchant_pretalk|I have no time for this right now.
dlga_start:arena_intro_1|.
dlga_start:arena_intro_1.1|Good day friend. If you came to watch the tournaments you came in vain. There won't be a tournament here anytime soon.
dlga_arena_intro_1:arena_intro_2|Tournaments? So they hold the tournaments here...
dlga_arena_intro_2:arena_intro_3|Yes. You should see this place during one of the tournament fights. Everyone from the planet comes here. The crowd becomes mad with excitement. Anyway, as I said, there won't be an event here soon, so there isn't much to see. Except, there is an official duel every now and then, and  of course we have melee fights almost every day.
dlga_arena_intro_3:arena_training_melee_intro|Tell me about the melee fights.
dlga_arena_training_melee_intro:arena_training_melee_intro_2|The fighters and knights get bored waiting for the next tournament, so they have invented the training melee. It is a simple idea really. Fighters jump into the arena with a weapon. There are no rules, no teams. Everyone beats at each other until there is only fighter left standing. Sounds like fun, eh?
dlga_arena_training_melee_intro_2:arena_training_melee_intro_reward|Is there a reward?
dlga_arena_training_melee_intro_reward:arena_training_melee_intro_2|There is, actually. Some of the wealthy citizens offer prizes for those fighters who show great skill in the fights. If you can beat {reg1} opponents before going down, you'll earn {reg11} credits. You'll get {reg12} credits for striking down at least {reg2} opponents, {reg13} credits if you can defeat {reg3} opponents, and {reg14} credits if you can survive long enough to beat {reg4} opponents. If you can manage to be the last {man/fighter} standing, you'll earn the great prize of the fights, {reg15} credits. Sounds good, eh?
dlga_arena_training_melee_explain_reward:arena_master_melee_pretalk|Some of the wealthy citizens offer prizes for those fighters who show great skill in the fights. If you can beat {reg1} opponents before going down, you'll earn {reg11} credits. You'll get {reg12} credits for striking down at least {reg2} opponents, {reg13} credits if you can defeat {reg3} opponents, and {reg14} credits if you can survive long enough to beat {reg4} opponents. If you can manage to be the last {man/fighter} standing, you'll earn the great prize of the fights, {reg15} credits. Sounds good, eh?
dlga_arena_training_melee_intro_2:arena_training_melee_intro_3|Can I join too?
dlga_arena_training_melee_intro_3:arena_master_melee_talk|Ha ha. You would have to be out of your mind not to. Of course. The melee fights are open to all. Actually there is going to be a fight soon. You can go and hop in if you want to.
dlga_start:arena_master_intro_1|Hello. You seem to be new here. Care to share your name?
dlga_arena_master_intro_1:arena_master_intro_2|I am {playername}.
dlga_arena_master_intro_2:arena_master_pre_talk|Well met {playername}. I am the master of the tournaments here at {s1}. Talk to me if you want to join the fights.
dlga_start:arena_master_fight_result|.
dlga_arena_master_fight_result:arena_master_pre_talk|Ha-ha, that's quite the bruise you're sporting. But don't worry; everybody gets trounced once in awhile. The important thing is to pick yourself up, dust yourself off and keep fighting. That's what champions do.
dlga_arena_master_fight_result:arena_master_pre_talk.1|Hey, you managed to take down {reg8} opponents. Not bad. But that won't bring you any prize money. Now, if I were you, I would go back there and show everyone what I can do...
dlga_arena_master_fight_result:arena_master_pre_talk.2|You put up quite a good fight there. Good moves. You definitely show promise. And you earned a prize of {reg10} credits for knocking down {reg8} opponents.
dlga_arena_master_fight_result:arena_master_pre_talk.3|That was a good fight you put up there. You managed to take down no less than {reg8} opponents. And of course, you earned a prize money of {reg10} credits.
dlga_arena_master_fight_result:arena_master_pre_talk.4|Your performance was amazing! You are without doubt a very skilled fighter. Not everyone can knock down {reg8} people in the fights. Of course you deserve a prize with that performance: {reg10} credits. Nice, eh?
